分数,本段人数,累计人数
683及以上,52,52
682,3,55
681,3,58
680,4,62
679,5,67
678,12,79
677,9,88
676,9,97
675,5,102
674,18,120
673,17,137
672,11,148
671,18,166
670,21,187
669,22,209
668,24,233
667,28,261
666,26,287
665,18,305
664,24,329
663,30,359
662,25,384
661,30,414
660,45,459
659,45,504
658,46,550
657,48,598
656,56,654
655,60,714
654,63,777
653,65,842
652,65,907
651,70,977
650,80,1057
649,72,1129
648,77,1206
647,98,1304
646,71,1375
645,80,1455
644,94,1549
643,94,1643
642,94,1737
641,111,1848
640,126,1974
639,129,2103
638,115,2218
637,148,2366
636,136,2502
635,134,2636
634,140,2776
633,144,2920
632,155,3075
631,172,3247
630,174,3421
629,182,3603
628,181,3784
627,181,3965
626,222,4187
625,185,4372
624,199,4571
623,205,4776
622,230,5006
621,236,5242
620,240,5482
619,260,5742
618,242,5984
617,252,6236
616,237,6473
615,264,6737
614,248,6985
613,259,7244
612,296,7540
611,289,7829
610,296,8125
609,297,8422
608,321,8743
607,318,9061
606,325,9386
605,315,9701
604,352,10053
603,357,10410
602,355,10765
601,369,11134
600,359,11493
599,342,11835
598,370,12205
597,354,12559
596,349,12908
595,381,13289
594,378,13667
593,397,14064
592,417,14481
591,382,14863
590,445,15308
589,429,15737
588,461,16198
587,418,16616
586,428,17044
585,425,17469
584,453,17922
583,462,18384
582,467,18851
581,505,19356
580,415,19771
579,469,20240
578,481,20721
577,485,21206
576,485,21691
575,490,22181
574,514,22695
573,530,23225
572,499,23724
571,527,24251
570,484,24735
569,519,25254
568,495,25749
567,508,26257
566,532,26789
565,556,27345
564,534,27879
563,575,28454
562,564,29018
561,561,29579
560,583,30162
559,574,30736
558,580,31316
557,576,31892
556,564,32456
555,567,33023
554,577,33600
553,610,34210
552,624,34834
551,606,35440
550,573,36013
549,571,36584
548,618,37202
547,622,37824
546,626,38450
545,596,39046
544,649,39695
543,669,40364
542,684,41048
541,618,41666
540,657,42323
539,663,42986
538,673,43659
537,654,44313
536,614,44927
535,671,45598
534,696,46294
533,641,46935
532,674,47609
531,665,48274
530,709,48983
529,667,49650
528,723,50373
527,715,51088
526,762,51850
525,699,52549
524,687,53236
523,702,53938
522,719,54657
521,726,55383
520,700,56083
519,702,56785
518,739,57524
517,738,58262
516,750,59012
515,711,59723
514,725,60448
513,743,61191
512,719,61910
511,679,62589
510,788,63377
509,747,64124
508,718,64842
507,773,65615
506,748,66363
505,775,67138
504,740,67878
503,743,68621
502,748,69369
501,779,70148
500,784,70932
499,766,71698
498,796,72494
497,826,73320
496,726,74046
495,756,74802
494,787,75589
493,746,76335
492,788,77123
491,776,77899
490,752,78651
489,750,79401
488,718,80119
487,781,80900
486,776,81676
485,818,82494
484,747,83241
483,823,84064
482,748,84812
481,777,85589
480,769,86358
479,752,87110
478,841,87951
477,778,88729
476,760,89489
475,777,90266
474,784,91050
473,776,91826
472,778,92604
471,765,93369
470,770,94139
469,768,94907
468,726,95633
467,736,96369
466,801,97170
465,747,97917
464,709,98626
463,748,99374
462,712,100086
461,714,100800
460,699,101499
459,728,102227
458,749,102976
457,752,103728
456,712,104440
455,703,105143
454,727,105870
453,679,106549
452,722,107271
451,742,108013
450,735,108748
449,669,109417
448,733,110150
447,739,110889
446,718,111607
445,703,112310
444,709,113019
443,658,113677
442,710,114387
441,707,115094
440,672,115766
439,657,116423
438,653,117076
437,647,117723
436,644,118367
435,623,118990
434,628,119618
433,677,120295
432,639,120934
431,652,121586
430,640,122226
429,670,122896
428,660,123556
427,637,124193
426,632,124825
425,579,125404
424,637,126041
423,597,126638
422,618,127256
421,613,127869
420,635,128504
419,607,129111
418,643,129754
417,607,130361
416,589,130950
415,582,131532
414,569,132101
413,574,132675
412,603,133278
411,560,133838
410,604,134442
409,569,135011
408,576,135587
407,549,136136
406,571,136707
405,565,137272
404,575,137847
403,579,138426
402,541,138967
401,573,139540
400,546,140086
399,534,140620
398,521,141141
397,517,141658
396,523,142181
395,488,142669
394,501,143170
393,459,143629
392,490,144119
391,523,144642
390,530,145172
389,495,145667
388,517,146184
387,514,146698
386,437,147135
385,470,147605
384,521,148126
383,450,148576
382,433,149009
381,511,149520
380,458,149978
379,432,150410
378,460,150870
377,452,151322
376,465,151787
375,395,152182
374,418,152600
373,419,153019
372,395,153414
371,394,153808
370,407,154215
369,402,154617
368,429,155046
367,438,155484
366,411,155895
365,347,156242
364,401,156643
363,356,156999
362,385,157384
361,376,157760
360,356,158116
359,346,158462
358,361,158823
357,339,159162
356,352,159514
355,311,159825
354,362,160187
353,350,160537
352,319,160856
351,341,161197
350,332,161529
349,291,161820
348,310,162130
347,295,162425
346,318,162743
345,307,163050
344,301,163351
343,293,163644
342,286,163930
341,274,164204
340,281,164485
339,295,164780
338,276,165056
337,234,165290
336,260,165550
335,277,165827
334,246,166073
333,239,166312
332,261,166573
331,229,166802
330,242,167044
329,246,167290
328,229,167519
327,236,167755
326,227,167982
325,218,168200
324,243,168443
323,215,168658
322,217,168875
321,204,169079
320,203,169282
319,154,169436
318,191,169627
317,177,169804
316,171,169975
315,174,170149
314,199,170348
313,167,170515
312,173,170688
311,160,170848
310,167,171015
309,174,171189
308,142,171331
307,172,171503
306,151,171654
305,152,171806
304,144,171950
303,154,172104
302,120,172224
301,119,172343
300,135,172478
299,143,172621
298,116,172737
297,119,172856
296,150,173006
295,141,173147
294,132,173279
293,104,173383
292,125,173508
291,125,173633
290,100,173733
289,121,173854
288,101,173955
287,97,174052
286,106,174158
285,100,174258
284,118,174376
283,98,174474
282,114,174588
281,93,174681
280,86,174767
279,108,174875
278,101,174976
277,91,175067
276,65,175132
275,76,175208
274,95,175303
273,81,175384
272,71,175455
271,83,175538
270,88,175626
269,62,175688
268,74,175762
267,58,175820
