ranking_id,team_id,ranking_type,ranking_date,rank,rating,previous_rank,source_name,source_url,fetched_at,raw_data
rank-algeria,algeria,FIFA,2026-06-11,28,1571.03,28,fifa-rankings,https://inside.fifa.com/api/ranking-overview?locale=en&dateId=id15136,2026-07-01T14:05:55.202Z,"{""fifaName"":""Algeria"",""rank"":28,""totalPoints"":1571.03,""dateId"":""id15136""}"
rank-argentina,argentina,FIFA,2026-06-11,1,1877.27,1,fifa-rankings,https://inside.fifa.com/api/ranking-overview?locale=en&dateId=id15136,2026-07-01T14:05:55.202Z,"{""fifaName"":""Argentina"",""rank"":1,""totalPoints"":1877.27,""dateId"":""id15136""}"
rank-australia,australia,FIFA,2026-06-11,27,1579.34,27,fifa-rankings,https://inside.fifa.com/api/ranking-overview?locale=en&dateId=id15136,2026-07-01T14:05:55.202Z,"{""fifaName"":""Australia"",""rank"":27,""totalPoints"":1579.34,""dateId"":""id15136""}"
rank-austria,austria,FIFA,2026-06-11,24,1597.4,24,fifa-rankings,https://inside.fifa.com/api/ranking-overview?locale=en&dateId=id15136,2026-07-01T14:05:55.202Z,"{""fifaName"":""Austria"",""rank"":24,""totalPoints"":1597.4,""dateId"":""id15136""}"
rank-belgium,belgium,FIFA,2026-06-11,9,1742.24,9,fifa-rankings,https://inside.fifa.com/api/ranking-overview?locale=en&dateId=id15136,2026-07-01T14:05:55.202Z,"{""fifaName"":""Belgium"",""rank"":9,""totalPoints"":1742.24,""dateId"":""id15136""}"
rank-bosnia-herzegovina,bosnia-herzegovina,FIFA,2026-06-11,64,1387.22,64,fifa-rankings,https://inside.fifa.com/api/ranking-overview?locale=en&dateId=id15136,2026-07-01T14:05:55.202Z,"{""fifaName"":""Bosnia and Herzegovina"",""rank"":64,""totalPoints"":1387.22,""dateId"":""id15136""}"
rank-brazil,brazil,FIFA,2026-06-11,6,1765.86,6,fifa-rankings,https://inside.fifa.com/api/ranking-overview?locale=en&dateId=id15136,2026-07-01T14:05:55.202Z,"{""fifaName"":""Brazil"",""rank"":6,""totalPoints"":1765.86,""dateId"":""id15136""}"
rank-canada,canada,FIFA,2026-06-11,30,1559.48,30,fifa-rankings,https://inside.fifa.com/api/ranking-overview?locale=en&dateId=id15136,2026-07-01T14:05:55.202Z,"{""fifaName"":""Canada"",""rank"":30,""totalPoints"":1559.48,""dateId"":""id15136""}"
rank-cape-verde,cape-verde,FIFA,2026-06-11,67,1371.11,67,fifa-rankings,https://inside.fifa.com/api/ranking-overview?locale=en&dateId=id15136,2026-07-01T14:05:55.202Z,"{""fifaName"":""Cabo Verde"",""rank"":67,""totalPoints"":1371.11,""dateId"":""id15136""}"
rank-colombia,colombia,FIFA,2026-06-11,13,1698.35,13,fifa-rankings,https://inside.fifa.com/api/ranking-overview?locale=en&dateId=id15136,2026-07-01T14:05:55.202Z,"{""fifaName"":""Colombia"",""rank"":13,""totalPoints"":1698.35,""dateId"":""id15136""}"
rank-croatia,croatia,FIFA,2026-06-11,11,1714.87,11,fifa-rankings,https://inside.fifa.com/api/ranking-overview?locale=en&dateId=id15136,2026-07-01T14:05:55.202Z,"{""fifaName"":""Croatia"",""rank"":11,""totalPoints"":1714.87,""dateId"":""id15136""}"
rank-cura-ao,cura-ao,FIFA,2026-06-11,82,1294.77,82,fifa-rankings,https://inside.fifa.com/api/ranking-overview?locale=en&dateId=id15136,2026-07-01T14:05:55.202Z,"{""fifaName"":""Curaçao"",""rank"":82,""totalPoints"":1294.77,""dateId"":""id15136""}"
rank-czech-republic,czech-republic,FIFA,2026-06-11,40,1505.74,40,fifa-rankings,https://inside.fifa.com/api/ranking-overview?locale=en&dateId=id15136,2026-07-01T14:05:55.202Z,"{""fifaName"":""Czechia"",""rank"":40,""totalPoints"":1505.74,""dateId"":""id15136""}"
rank-dr-congo,dr-congo,FIFA,2026-06-11,46,1474.43,46,fifa-rankings,https://inside.fifa.com/api/ranking-overview?locale=en&dateId=id15136,2026-07-01T14:05:55.202Z,"{""fifaName"":""Congo DR"",""rank"":46,""totalPoints"":1474.43,""dateId"":""id15136""}"
