gap_id,match_id,team_id,field_name,priority,reason,suggested_source,status,created_at,resolved_at,resolved_by
gap-odds-match-87,match-87,,odds_1x2,high,Missing match odds for upcoming match,The Odds API,open,2026-07-04T03:32:25.539Z,,
gap-lineup-match-87,match-87,,lineup_expected,high,Missing expected lineups,football-data,open,2026-07-04T03:32:25.539Z,,
gap-injury-match-87,match-87,,injury_suspension,medium,Missing injury/suspension lists,Transfermarkt,open,2026-07-04T03:32:25.539Z,,
gap-odds-match-89,match-89,,odds_1x2,high,Missing match odds for upcoming match,The Odds API,open,2026-07-04T03:32:25.539Z,,
gap-lineup-match-89,match-89,,lineup_expected,high,Missing expected lineups,football-data,open,2026-07-04T03:32:25.539Z,,
gap-injury-match-89,match-89,,injury_suspension,medium,Missing injury/suspension lists,Transfermarkt,open,2026-07-04T03:32:25.539Z,,
gap-odds-match-90,match-90,,odds_1x2,high,Missing match odds for upcoming match,The Odds API,open,2026-07-04T03:32:25.539Z,,
gap-lineup-match-90,match-90,,lineup_expected,high,Missing expected lineups,football-data,open,2026-07-04T03:32:25.539Z,,
gap-injury-match-90,match-90,,injury_suspension,medium,Missing injury/suspension lists,Transfermarkt,open,2026-07-04T03:32:25.539Z,,
gap-odds-match-91,match-91,,odds_1x2,high,Missing match odds for upcoming match,The Odds API,open,2026-07-04T03:32:25.539Z,,
gap-lineup-match-91,match-91,,lineup_expected,high,Missing expected lineups,football-data,open,2026-07-04T03:32:25.539Z,,
gap-injury-match-91,match-91,,injury_suspension,medium,Missing injury/suspension lists,Transfermarkt,open,2026-07-04T03:32:25.539Z,,
gap-odds-match-92,match-92,,odds_1x2,high,Missing match odds for upcoming match,The Odds API,open,2026-07-04T03:32:25.539Z,,
gap-lineup-match-92,match-92,,lineup_expected,high,Missing expected lineups,football-data,open,2026-07-04T03:32:25.539Z,,
gap-injury-match-92,match-92,,injury_suspension,medium,Missing injury/suspension lists,Transfermarkt,open,2026-07-04T03:32:25.539Z,,
gap-odds-match-93,match-93,,odds_1x2,high,Missing match odds for upcoming match,The Odds API,open,2026-07-04T03:32:25.539Z,,
gap-lineup-match-93,match-93,,lineup_expected,high,Missing expected lineups,football-data,open,2026-07-04T03:32:25.539Z,,
gap-injury-match-93,match-93,,injury_suspension,medium,Missing injury/suspension lists,Transfermarkt,open,2026-07-04T03:32:25.539Z,,
gap-odds-match-94,match-94,,odds_1x2,high,Missing match odds for upcoming match,The Odds API,open,2026-07-04T03:32:25.539Z,,
gap-lineup-match-94,match-94,,lineup_expected,high,Missing expected lineups,football-data,open,2026-07-04T03:32:25.539Z,,
gap-injury-match-94,match-94,,injury_suspension,medium,Missing injury/suspension lists,Transfermarkt,open,2026-07-04T03:32:25.539Z,,
gap-odds-match-95,match-95,,odds_1x2,high,Missing match odds for upcoming match,The Odds API,open,2026-07-04T03:32:25.539Z,,
gap-lineup-match-95,match-95,,lineup_expected,high,Missing expected lineups,football-data,open,2026-07-04T03:32:25.539Z,,
gap-injury-match-95,match-95,,injury_suspension,medium,Missing injury/suspension lists,Transfermarkt,open,2026-07-04T03:32:25.539Z,,
gap-odds-match-96,match-96,,odds_1x2,high,Missing match odds for upcoming match,The Odds API,open,2026-07-04T03:32:25.539Z,,
gap-lineup-match-96,match-96,,lineup_expected,high,Missing expected lineups,football-data,open,2026-07-04T03:32:25.539Z,,
gap-injury-match-96,match-96,,injury_suspension,medium,Missing injury/suspension lists,Transfermarkt,open,2026-07-04T03:32:25.539Z,,
gap-odds-match-97,match-97,,odds_1x2,high,Missing match odds for upcoming match,The Odds API,open,2026-07-04T03:32:25.539Z,,
gap-lineup-match-97,match-97,,lineup_expected,high,Missing expected lineups,football-data,open,2026-07-04T03:32:25.539Z,,
gap-injury-match-97,match-97,,injury_suspension,medium,Missing injury/suspension lists,Transfermarkt,open,2026-07-04T03:32:25.539Z,,
gap-odds-match-98,match-98,,odds_1x2,high,Missing match odds for upcoming match,The Odds API,open,2026-07-04T03:32:25.539Z,,
gap-lineup-match-98,match-98,,lineup_expected,high,Missing expected lineups,football-data,open,2026-07-04T03:32:25.539Z,,
