match_id,tournament,season,stage,round,kickoff_utc,kickoff_local,timezone,venue_id,city,home_team_id,away_team_id,home_source_rule,away_source_rule,home_source_match_id,away_source_match_id,home_score_90,away_score_90,home_score_extra,away_score_extra,home_penalties,away_penalties,winner_team_id,status,source_name,source_url,fetched_at,raw_data
match-gen-1,FIFA World Cup,2026,Group A,Matchday 1,2026-06-11T19:00:00.000Z,2026-06-11T13:00:00,America/Mexico_City,mexico-city,Mexico City,mexico,south-africa,,,,,2,0,,,,,mexico,finished,openfootball,https://github.com/openfootball/worldcup.json,2026-07-01T14:05:55.202Z,{}
match-gen-2,FIFA World Cup,2026,Group A,Matchday 1,2026-06-12T02:00:00.000Z,2026-06-11T20:00:00,America/Mexico_City,guadalajara-zapopan,Guadalajara,south-korea,czech-republic,,,,,2,1,,,,,south-korea,finished,openfootball,https://github.com/openfootball/worldcup.json,2026-07-01T14:05:55.202Z,{}
match-gen-3,FIFA World Cup,2026,Group A,Matchday 8,2026-06-18T16:00:00.000Z,2026-06-18T12:00:00,America/New_York,atlanta,Atlanta,czech-republic,south-africa,,,,,1,1,,,,,,finished,openfootball,https://github.com/openfootball/worldcup.json,2026-07-01T14:05:55.202Z,{}
match-gen-4,FIFA World Cup,2026,Group A,Matchday 8,2026-06-19T01:00:00.000Z,2026-06-18T19:00:00,America/Mexico_City,guadalajara-zapopan,Guadalajara,mexico,south-korea,,,,,1,0,,,,,mexico,finished,openfootball,https://github.com/openfootball/worldcup.json,2026-07-01T14:05:55.202Z,{}
match-gen-5,FIFA World Cup,2026,Group A,Matchday 14,2026-06-25T01:00:00.000Z,2026-06-24T19:00:00,America/Mexico_City,mexico-city,Mexico City,czech-republic,mexico,,,,,0,3,,,,,mexico,finished,openfootball,https://github.com/openfootball/worldcup.json,2026-07-01T14:05:55.202Z,{}
match-gen-6,FIFA World Cup,2026,Group A,Matchday 14,2026-06-25T01:00:00.000Z,2026-06-24T19:00:00,America/Monterrey,monterrey-guadalupe,Monterrey,south-africa,south-korea,,,,,1,0,,,,,south-africa,finished,openfootball,https://github.com/openfootball/worldcup.json,2026-07-01T14:05:55.202Z,{}
match-gen-7,FIFA World Cup,2026,Group B,Matchday 2,2026-06-12T19:00:00.000Z,2026-06-12T15:00:00,America/Toronto,toronto,Toronto,canada,bosnia-herzegovina,,,,,1,1,,,,,,finished,openfootball,https://github.com/openfootball/worldcup.json,2026-07-01T14:05:55.202Z,{}
match-gen-8,FIFA World Cup,2026,Group B,Matchday 3,2026-06-13T19:00:00.000Z,2026-06-13T12:00:00,America/Los_Angeles,san-francisco-bay-area-santa-clara,San Francisco Bay Area,qatar,switzerland,,,,,1,1,,,,,,finished,openfootball,https://github.com/openfootball/worldcup.json,2026-07-01T14:05:55.202Z,{}
match-gen-9,FIFA World Cup,2026,Group B,Matchday 8,2026-06-18T19:00:00.000Z,2026-06-18T12:00:00,America/Los_Angeles,los-angeles-inglewood,Los Angeles,switzerland,bosnia-herzegovina,,,,,4,1,,,,,switzerland,finished,openfootball,https://github.com/openfootball/worldcup.json,2026-07-01T14:05:55.202Z,{}
match-gen-10,FIFA World Cup,2026,Group B,Matchday 8,2026-06-18T22:00:00.000Z,2026-06-18T15:00:00,America/Vancouver,vancouver,Vancouver,canada,qatar,,,,,6,0,,,,,canada,finished,openfootball,https://github.com/openfootball/worldcup.json,2026-07-01T14:05:55.202Z,{}
