form_match_id,team_id,opponent_team_id,opponent_name_raw,match_date,competition,is_neutral,is_home,goals_for,goals_against,result,opponent_elo,source_name,source_url,fetched_at,raw_data
form-1,algeria,austria,austria,2026-06-27,FIFA World Cup,true,true,3,3,D,1597.4,martj42-results,https://github.com/martj42/international_results,2026-07-01T14:05:55.202Z,"{""date"":""2026-06-27"",""home"":""algeria"",""away"":""austria"",""home_score"":3,""away_score"":3,""tournament"":""FIFA World Cup"",""neutral"":true}"
form-2,algeria,jordan,jordan,2026-06-22,FIFA World Cup,true,false,2,1,W,1387.74,martj42-results,https://github.com/martj42/international_results,2026-07-01T14:05:55.202Z,"{""date"":""2026-06-22"",""home"":""jordan"",""away"":""algeria"",""home_score"":1,""away_score"":2,""tournament"":""FIFA World Cup"",""neutral"":true}"
form-3,algeria,argentina,argentina,2026-06-16,FIFA World Cup,true,false,0,3,L,1877.27,martj42-results,https://github.com/martj42/international_results,2026-07-01T14:05:55.202Z,"{""date"":""2026-06-16"",""home"":""argentina"",""away"":""algeria"",""home_score"":3,""away_score"":0,""tournament"":""FIFA World Cup"",""neutral"":true}"
form-4,algeria,,bolivia,2026-06-10,Friendly,true,false,4,0,W,1326,martj42-results,https://github.com/martj42/international_results,2026-07-01T14:05:55.202Z,"{""date"":""2026-06-10"",""home"":""bolivia"",""away"":""algeria"",""home_score"":0,""away_score"":4,""tournament"":""Friendly"",""neutral"":true}"
form-5,algeria,netherlands,netherlands,2026-06-03,Friendly,false,false,1,0,W,1753.57,martj42-results,https://github.com/martj42/international_results,2026-07-01T14:05:55.202Z,"{""date"":""2026-06-03"",""home"":""netherlands"",""away"":""algeria"",""home_score"":0,""away_score"":1,""tournament"":""Friendly"",""neutral"":false}"
form-6,algeria,uruguay,uruguay,2026-03-31,Friendly,true,true,0,0,D,1673.07,martj42-results,https://github.com/martj42/international_results,2026-07-01T14:05:55.202Z,"{""date"":""2026-03-31"",""home"":""algeria"",""away"":""uruguay"",""home_score"":0,""away_score"":0,""tournament"":""Friendly"",""neutral"":true}"
form-7,algeria,,guatemala,2026-03-27,Friendly,true,true,7,0,W,1238.74,martj42-results,https://github.com/martj42/international_results,2026-07-01T14:05:55.202Z,"{""date"":""2026-03-27"",""home"":""algeria"",""away"":""guatemala"",""home_score"":7,""away_score"":0,""tournament"":""Friendly"",""neutral"":true}"
form-8,algeria,,nigeria,2026-01-10,African Cup of Nations,true,true,0,2,L,1585.02,martj42-results,https://github.com/martj42/international_results,2026-07-01T14:05:55.202Z,"{""date"":""2026-01-10"",""home"":""algeria"",""away"":""nigeria"",""home_score"":0,""away_score"":2,""tournament"":""African Cup of Nations"",""neutral"":true}"
form-9,algeria,dr-congo,dr congo,2026-01-06,African Cup of Nations,true,true,1,0,W,1474.43,martj42-results,https://github.com/martj42/international_results,2026-07-01T14:05:55.202Z,"{""date"":""2026-01-06"",""home"":""algeria"",""away"":""dr congo"",""home_score"":1,""away_score"":0,""tournament"":""African Cup of Nations"",""neutral"":true}"
form-10,algeria,,equatorial guinea,2025-12-31,African Cup of Nations,true,false,3,1,W,1195.2,martj42-results,https://github.com/martj42/international_results,2026-07-01T14:05:55.202Z,"{""date"":""2025-12-31"",""home"":""equatorial guinea"",""away"":""algeria"",""home_score"":1,""away_score"":3,""tournament"":""African Cup of Nations"",""neutral"":true}"
form-11,argentina,jordan,jordan,2026-06-27,FIFA World Cup,true,false,3,1,W,1387.74,martj42-results,https://github.com/martj42/international_results,2026-07-01T14:05:55.202Z,"{""date"":""2026-06-27"",""home"":""jordan"",""away"":""argentina"",""home_score"":1,""away_score"":3,""tournament"":""FIFA World Cup"",""neutral"":true}"
form-12,argentina,austria,austria,2026-06-22,FIFA World Cup,true,true,2,0,W,1597.4,martj42-results,https://github.com/martj42/international_results,2026-07-01T14:05:55.202Z,"{""date"":""2026-06-22"",""home"":""argentina"",""away"":""austria"",""home_score"":2,""away_score"":0,""tournament"":""FIFA World Cup"",""neutral"":true}"
